NO,단지명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),층_2023,건축년도,도로명,도로명 주소,대지위치,동_주용도,동_세부용도,X,Y,표준신주소,최종 집값(만원)_2023,층_2019,최종 집값(만원)_2019,층_2020,최종 집값(만원)_2020,층_2021,최종 집값(만원)_2021,층_2022,최종 집값(만원)_2022,id,,
392,선릉역 롯데골드로즈오피스텔,전세,33.81,"17,850",0,6,2003,테헤란로64길 8,서울특별시 강남구 테헤란로64길 8,서울특별시 강남구 대치동 889-53,업무시설,업무시설,127.0508967,37.5041902,서울특별시 강남구 테헤란로64길 8,17850,5,22000,15,20100,9,21800,9,21300,유지,,
394,선릉역대우아이빌,월세,30.1,"1,000",80,6,2004,테헤란로64길 9,서울특별시 강남구 테헤란로64길 9,서울특별시 강남구 대치동 890-49,업무시설," 공동주택(아파트),오피스텔,근린생활시설 ",127.0515271,37.5044296,서울특별시 강남구 테헤란로64길 9,18800,4,21500,6,22800,6,21000,3,24800,유지,,
399,선릉역대우아이빌,월세,33.02,"20,000",35,4,2004,테헤란로64길 9,서울특별시 강남구 테헤란로64길 9,서울특별시 강남구 대치동 890-49,업무시설," 공동주택(아파트),오피스텔,근린생활시설 ",127.0515271,37.5044296,서울특별시 강남구 테헤란로64길 9,27800,7,23700,4,25000,4,23000,6,23300,유지,,
401,신안메트로칸,월세,26.19,"1,000",69,11,2004,테헤란로88길 10,서울특별시 강남구 테헤란로88길 10,서울특별시 강남구 대치동 943-24,업무시설," 업무시설(오피스텔),근린생활시설 ",127.0594705,37.5068448,서울특별시 강남구 테헤란로88길 10,16300,18,21000,7,19700,18,21300,22,20000,유지,,
408,신안메트로칸,전세,27.45,"21,000",0,15,2004,테헤란로88길 10,서울특별시 강남구 테헤란로88길 10,서울특별시 강남구 대치동 943-24,업무시설," 업무시설(오피스텔),근린생활시설 ",127.0594705,37.5068448,서울특별시 강남구 테헤란로88길 10,21000,19,19400,4,18800,3,19100,11,19800,유지,,
411,신안메트로칸,전세,30.11,"23,000",0,16,2004,테헤란로88길 10,서울특별시 강남구 테헤란로88길 10,서울특별시 강남구 대치동 943-24,업무시설," 업무시설(오피스텔),근린생활시설 ",127.0594705,37.5068448,서울특별시 강남구 테헤란로88길 10,23000,22,20300,22,20600,7,21000,22,20000,유지,,
480,LG선릉에클라트B,전세,39.99,"27,000",0,8,2004,테헤란로63길 12,서울특별시 강남구 테헤란로63길 12,서울특별시 강남구 삼성동 142-3,업무시설," 공동주택(아파트), 업무시설 ",127.0508954,37.5060824,서울특별시 강남구 테헤란로63길 12,27000,6,25700,8,26000,6,25000,7,30400,유지,,
487,LG선릉에클라트B,전세,40.11,"27,000",0,6,2004,테헤란로63길 12,서울특별시 강남구 테헤란로63길 12,서울특별시 강남구 삼성동 142-3,업무시설," 공동주택(아파트), 업무시설 ",127.0508954,37.5060824,서울특별시 강남구 테헤란로63길 12,27000,8,27500,3,25100,3,26200,3,25600,유지,,
489,LG선릉에클라트B,월세,53.43,"46,000",6,6,2004,테헤란로63길 12,서울특별시 강남구 테헤란로63길 12,서울특별시 강남구 삼성동 142-3,업무시설," 공동주택(아파트), 업무시설 ",127.0508954,37.5060824,서울특별시 강남구 테헤란로63길 12,47300,3,35600,8,48800,7,46700,5,46600,유지,,
499,삼성동 롯데캐슬 클라쎄,전세,19.89,"24,150",0,13,2019,테헤란로63길 9,서울특별시 강남구 테헤란로63길 9,서울특별시 강남구 삼성동 141-10,업무시설," 업무시설(오피스텔 287호),근린생활시설(11호) ",127.0500513,37.5057513,서울특별시 강남구 테헤란로63길 9,24150,4,17800,12,20400,10,31200,11,23600,유지,,
528,삼성동 롯데캐슬 클라쎄,월세,21.87,"5,000",105,5,2019,테헤란로63길 9,서울특별시 강남구 테헤란로63길 9,서울특별시 강남구 삼성동 141-10,업무시설," 업무시설(오피스텔 287호),근린생활시설(11호) ",127.0500513,37.5057513,서울특별시 강남구 테헤란로63길 9,28300,11,24500,8,24500,6,25000,11,31800,유지,,
539,삼성동 롯데캐슬 클라쎄,월세,29.37,"3,000",142,13,2019,테헤란로63길 9,서울특별시 강남구 테헤란로63길 9,서울특별시 강남구 삼성동 141-10,업무시설," 업무시설(오피스텔 287호),근린생활시설(11호) ",127.0500513,37.5057513,서울특별시 강남구 테헤란로63길 9,34600,5,37700,14,39900,8,40600,3,41500,유지,,
